question1,value1,question2,value2,p_value,effect_size,test,segment,segment_valid,insight
Qj - What is your gender?,Female,Qh - Qh - What is your age?,34.0,0.005034449616017231,-0.2624526747293374,T-test,ALL,True,Female fans are 126% less likely to say '34.0' is their favourite when it comes to qh - qh - what is your age?s.
Qj - What is your gender?,Female,QfUK - What is your child's ethnic group?,White - Includes any White background,0.0010726491739051142,0.17777364162830966,Chi-square,ALL,True,Female fans are 82% less likely to say 'White - Includes any White background' is their favourite when it comes to qfuk - what is your child's ethnic group?s.
Qj - What is your gender?,Female,HHI_UK - What is your annual household income? By this we mean the total annual income of everyone who lives in your household with you.,"£50,000 - £74,999",0.02299623721591062,0.18667762127733606,Chi-square,ALL,True,"Female fans are 81% less likely to say '£50,000 - £74,999' is their favourite when it comes to hhi uk - what is your annual household income? by this we mean the total annual income of everyone who lives in your household with you.s."
Which region of the UK do you live in?,London,Qh - Qh - What is your age?,34.0,0.0013814219858745524,,ANOVA,ALL,True,London fans are more likely to say '34.0' is their favourite when it comes to qh - qh - what is your age?s.
QfUK - What is your child's ethnic group?,White - Includes any White background,Qh - Qh - What is your age?,34.0,0.0008738297716064064,,ANOVA,ALL,True,White - Includes any White background fans are more likely to say '34.0' is their favourite when it comes to qh - qh - what is your age?s.
HidParentChild - dummy to punch who will take the survey:,Parent,Qh - Qh - What is your age?,34.0,0.0002629843715351563,0.39285130268738544,T-test,ALL,True,Parent fans are 61% less likely to say '34.0' is their favourite when it comes to qh - qh - what is your age?s.
age_group,6-9,Qh - Qh - What is your age?,34.0,1.3914774701500273e-08,,ANOVA,ALL,True,6-9 fans are more likely to say '34.0' is their favourite when it comes to qh - qh - what is your age?s.
Qe - Qe - In total how many children (aged 2-9) live in your household? Boys,1.0,TAG008 - Which categories do most of your toys fit in? Which categories do most of your child's toys fit in?,Primarily plastic toys (no electronic component),0.01402926296534494,0.13957490506042938,Chi-square,ALL,True,1.0 fans are 86% less likely to say 'Primarily plastic toys (no electronic component)' is their favourite when it comes to tag008 - which categories do most of your toys fit in? which categories do most of your child's toys fit in?s.
QfUK - What is your child's ethnic group?,White - Includes any White background,HHI_UK - What is your annual household income? By this we mean the total annual income of everyone who lives in your household with you.,"£50,000 - £74,999",0.009583510037448766,0.16791983929657978,Chi-square,ALL,True,"White - Includes any White background fans are 83% less likely to say '£50,000 - £74,999' is their favourite when it comes to hhi uk - what is your annual household income? by this we mean the total annual income of everyone who lives in your household with you.s."
QfUK - What is your child's ethnic group?,White - Includes any White background,TAG003 - TAG003 - How often do you do each of the following activities? How often does your child do each of the following activities? Watching TV shows made for kids and/or teens at the time of broadcast on television,Everyday,0.043146783857255455,0.1985564591081772,Chi-square,ALL,True,White - Includes any White background fans are 80% less likely to say 'Everyday' is their favourite when it comes to tag003 - tag003 - how often do you do each of the following activities? how often does your child do each of the following activities? watching tv shows made for kids and/or teens at the time of broadcast on televisions.
